 ---------------------------------------------------------------
Surface and Strip forces by surface

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     main_wing_1                             
     # chordwise = 10   # spanwise =100     First strip =  1
     Surface area =  17.880           ave. chord =  2.7158    
     CLsurf  =   0.097731     Clsurf  =  -0.011063
     CYsurf  =  -0.000120     Cmsurf  =  -0.055889
     CDsurf  =   0.002949     Cnsurf  =  -0.000287
     CDisurf =   0.000881     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.357538     cd_surf =   0.010788

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
    77   12.65       5.721       1.385       2.559      0.1793       0.000      0.7863      0.1129E-01  0.3076       0.000      0.8630E-03   0.000      0.8928E-03  0.2471       0.000    
    78   12.65       5.790       1.385       2.551      0.1724       0.000      0.7839      0.1117E-01  0.3077       0.000      0.8791E-03   0.000      0.8471E-03  0.2472       0.000    
    79   12.65       5.856       1.385       2.543      0.1655       0.000      0.7816      0.1105E-01  0.3078       0.000      0.8928E-03   0.000      0.8068E-03  0.2474       0.000    
    80   12.65       5.920       1.385       2.535      0.1584       0.000      0.7793      0.1093E-01  0.3078       0.000      0.9045E-03   0.000      0.7711E-03  0.2475       0.000    
    81   12.65       5.981       1.385       2.527      0.1513       0.000      0.7772      0.1081E-01  0.3079       0.000      0.9143E-03   0.000      0.7396E-03  0.2476       0.000    
    82   12.66       6.040       1.385       2.520      0.1440       0.000      0.7751      0.1070E-01  0.3080       0.000      0.9227E-03   0.000      0.7119E-03  0.2477       0.000    
    83   12.66       6.095       1.385       2.513      0.1367       0.000      0.7732      0.1060E-01  0.3080       0.000      0.9297E-03   0.000      0.6874E-03  0.2478       0.000    
    84   12.66       6.148       1.385       2.507      0.1293       0.000      0.7713      0.1050E-01  0.3081       0.000      0.9355E-03   0.000      0.6659E-03  0.2478       0.000    
    85   12.66       6.198       1.385       2.501      0.1218       0.000      0.7696      0.1040E-01  0.3081       0.000      0.9403E-03   0.000      0.6471E-03  0.2479       0.000    
    86   12.66       6.246       1.385       2.495      0.1142       0.000      0.7679      0.1032E-01  0.3082       0.000      0.9443E-03   0.000      0.6307E-03  0.2480       0.000    
    87   12.66       6.290       1.385       2.489      0.1066       0.000      0.7664      0.1023E-01  0.3082       0.000      0.9475E-03   0.000      0.6163E-03  0.2480       0.000    
    88   12.67       6.331       1.385       2.484      0.9895E-01   0.000      0.7649      0.1016E-01  0.3083       0.000      0.9500E-03   0.000      0.6039E-03  0.2480       0.000    
    89   12.67       6.370       1.385       2.479      0.9122E-01   0.000      0.7636      0.1009E-01  0.3083       0.000      0.9520E-03   0.000      0.5931E-03  0.2481       0.000    
    90   12.67       6.405       1.385       2.475      0.8345E-01   0.000      0.7624      0.1002E-01  0.3084       0.000      0.9535E-03   0.000      0.5839E-03  0.2481       0.000    
    91   12.67       6.437       1.385       2.471      0.7563E-01   0.000      0.7613      0.9961E-02  0.3084       0.000      0.9546E-03   0.000      0.5760E-03  0.2481       0.000    
    92   12.67       6.466       1.385       2.468      0.6777E-01   0.000      0.7602      0.9908E-02  0.3085       0.000      0.9554E-03   0.000      0.5693E-03  0.2482       0.000    
    93   12.67       6.492       1.385       2.464      0.5988E-01   0.000      0.7594      0.9860E-02  0.3085       0.000      0.9560E-03   0.000      0.5636E-03  0.2482       0.000    
    94   12.67       6.515       1.385       2.462      0.5196E-01   0.000      0.7586      0.9818E-02  0.3085       0.000      0.9563E-03   0.000      0.5589E-03  0.2482       0.000    
    95   12.67       6.534       1.385       2.459      0.4401E-01   0.000      0.7579      0.9783E-02  0.3086       0.000      0.9564E-03   0.000      0.5551E-03  0.2482       0.000    
    96   12.67       6.550       1.385       2.457      0.3604E-01   0.000      0.7573      0.9753E-02  0.3086       0.000      0.9563E-03   0.000      0.5521E-03  0.2482       0.000    
    97   12.67       6.563       1.385       2.456      0.2805E-01   0.000      0.7569      0.9729E-02  0.3086       0.000      0.9561E-03   0.000      0.5497E-03  0.2482       0.000    
    98   12.67       6.573       1.385       2.454      0.2004E-01   0.000      0.7565      0.9712E-02  0.3086       0.000      0.9558E-03   0.000      0.5480E-03  0.2482       0.000    
    99   12.67       6.580       1.385       2.454      0.1203E-01   0.000      0.7563      0.9700E-02  0.3086       0.000      0.9551E-03   0.000      0.5468E-03  0.2482       0.000    
   100   12.67       6.583       1.385       2.453      0.4011E-02   0.000      0.7562      0.9694E-02  0.3086       0.000      0.9533E-03   0.000      0.5463E-03  0.2482       0.000    

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 2     main_wing_1 (YDUP)                      
     # chordwise = 10   # spanwise =100     First strip =101
     Surface area =  17.880           ave. chord =  2.7158    
     CLsurf  =   0.097597     Clsurf  =   0.011051
     CYsurf  =   0.000120     Cmsurf  =  -0.055833
     CDsurf  =   0.002939     Cnsurf  =   0.000287
     CDisurf =   0.000880     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.357048     cd_surf =   0.010754

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
   101   12.59     -0.4115E-03   1.385       2.797      0.4604E-02   0.000      0.8007      0.3694E-01  0.2865       0.000      0.3287E-02   0.000     -0.3488E-02  0.2622       0.000    
   102   12.59     -0.3702E-02   1.385       2.797      0.1381E-01   0.000      0.8007      0.1835E-01  0.2865       0.000      0.3287E-02   0.000     -0.3488E-02  0.2622       0.000    
   103   12.59     -0.1028E-01   1.385       2.797      0.2299E-01   0.000      0.8007      0.1686E-01  0.2865       0.000      0.3287E-02   0.000     -0.3487E-02  0.2622       0.000    
   104   12.59     -0.2014E-01   1.385       2.797      0.3216E-01   0.000      0.8007      0.1646E-01  0.2865       0.000      0.3287E-02   0.000     -0.3486E-02  0.2622       0.000    
   105   12.59     -0.3327E-01   1.385       2.797      0.4130E-01   0.000      0.8007      0.1629E-01  0.2865       0.000      0.3286E-02   0.000     -0.3484E-02  0.2622       0.000    
